count,latitude,longitude,city,region_country,reason
1,44.09227,-77.93884,,,Confirmed Contributor
1,-23.68637,-46.62409,,,Confirmed Contributor
1,40.05155,-105.04745,,,Confirmed Contributor
1,58.00675,56.22857,,,Confirmed Contributor
1,44.54958,-70.01528,,,Confirmed Contributor
1,-1.28579,36.82003,,,Confirmed Contributor
1,47.55436,9.69024,,,Confirmed Contributor
1,40.85083,-73.96749,,,Confirmed Contributor
1,45.04759,8.2083,,,Confirmed Contributor
1,40.89363,-80.77808,,,Confirmed Contributor
1,34.05982,-118.1228,,,Confirmed Contributor
1,36.77117,7.90274,,,Confirmed Contributor
1,42.75465,-83.27399,,,Confirmed Contributor
1,47.60548,-122.03556,,,Confirmed Contributor
1,50.87271,-2.96588,,,Confirmed Contributor
1,53.64516,-1.78493,,,Confirmed Contributor
1,42.96546,-85.67017,,,Confirmed Contributor
1,43.82607,-111.78953,,,Confirmed Contributor
2,13.18457,77.47928,,,Confirmed Contributor
1,50.44773,30.54272,,,Confirmed Contributor
1,33.59502,-117.6591,,,Confirmed Contributor
1,19.5418,-154.90731,,,Confirmed Contributor
1,46.84949,9.53067,,,Confirmed Contributor
1,45.37174,-73.57048,,,Confirmed Contributor
1,41.38792,2.16992,,,Confirmed Contributor
1,46.16839,6.11778,,,Confirmed Contributor
1,45.03345,38.9802,,,Confirmed Contributor
1,17.41105,78.47763,,,Confirmed Contributor
1,37.86282,23.75344,,,Confirmed Contributor
1,39.89652,32.86197,,,Confirmed Contributor
1,38.99766,-77.02702,,,Confirmed Contributor
1,53.3441,-6.26749,,,Confirmed Contributor
1,38.85283,0.01654,,,Confirmed Contributor
1,-32.92667,151.78002,,,Confirmed Contributor
1,21.33275,-104.58721,,,Confirmed Contributor
1,41.38292,-72.90774,,,Confirmed Contributor
1,52.04144,-0.76056,,,Confirmed Contributor
1,36.66836,-4.55297,,,Confirmed Contributor
1,40.32642,-3.75899,,,Confirmed Contributor
1,37.9301,-122.05584,,,Confirmed Contributor
1,-28.26235,-52.40899,,,Confirmed Contributor
1,33.66371,-85.82979,,,Confirmed Contributor
1,42.35114,-71.13144,,,Confirmed Contributor
1,49.44121,32.06396,,,Confirmed Contributor
1,-6.17476,106.82707,,,Confirmed Contributor
1,22.71867,75.85571,,,Confirmed Contributor
1,46.61804,7.05728,,,Confirmed Contributor
1,40.16573,-105.10119,,,Confirmed Contributor
1,53.79385,-1.75244,,,Confirmed Contributor
1,44.38934,-79.68552,,,Confirmed Contributor
1,54.89687,23.89243,,,Confirmed Contributor
1,54.51684,18.54194,,,Confirmed Contributor
1,43.94871,4.80593,,,Confirmed Contributor
1,28.46659,77.03331,,,Confirmed Contributor
1,45.49197,5.38509,,,Confirmed Contributor
1,51.09479,5.79397,,,Confirmed Contributor
1,50.02454,8.88526,,,Confirmed Contributor
1,38.91293,-94.79455,,,Confirmed Contributor
1,53.41078,-2.97784,,,Confirmed Contributor
1,48.59969,19.28763,,,Confirmed Contributor
1,37.96143,23.75289,,,Confirmed Contributor
1,32.71576,-117.16382,,,Confirmed Contributor
1,38.32911,-90.14808,,,Confirmed Contributor
